ID,Name_of_Covered_Entity,State,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,year,Breach_Month,Breach_Quarter,Name_of_Covered_Entity_Encoded,State_Encoded,Type_of_Breach_Encoded,Location_of_Breached_Information_Encoded
0,Brooke Army Medical Center,TX,1000,2009-10-16,Theft,Paper,2014-06-30,2009-01-01,10,4,105,44,11,40
1,"Mid America Kidney Stone Association, LLC",MO,1000,2009-09-22,Theft,Network Server,2014-05-30,2009-01-01,9,3,520,24,11,30
2,Alaska Department of Health and Social Services,AK,501,2009-10-12,Theft,"Other Portable Electronic Device, Other",2014-01-23,2009-01-01,10,4,30,0,11,36
3,"Health Services for Children with Special Needs, Inc.",DC,3800,2009-10-09,Loss,Laptop,2014-01-23,2009-01-01,10,4,331,7,4,16
4,"L. Douglas Carlson, M.D.",CA,5257,2009-09-27,Theft,Desktop Computer,2014-01-23,2009-01-01,9,3,431,4,11,0
5,"David I. Cohen, MD",CA,857,2009-09-27,Theft,Desktop Computer,2014-01-23,2009-01-01,9,3,217,4,11,0
6,"Michele Del Vicario, MD",CA,6145,2009-09-27,Theft,Desktop Computer,2014-01-23,2009-01-01,9,3,518,4,11,0
7,"Joseph F. Lopez, MD",CA,952,2009-09-27,Theft,Desktop Computer,2014-01-23,2009-01-01,9,3,409,4,11,0
8,"Mark D. Lurie, MD",CA,5166,2009-09-27,Theft,Desktop Computer,2014-01-23,2009-01-01,9,3,489,4,11,0
9,City of Hope National Medical Center,CA,5900,2009-09-27,Theft,Laptop,2014-01-23,2009-01-01,9,3,170,4,11,16
10,The Children's Hospital of Philadelphia,PA,943,2009-10-20,Theft,Laptop,2014-01-23,2009-01-01,10,4,814,38,11,16
11,"Cogent Healthcare of Wisconsin, S.C.",TN,6400,2009-10-11,Theft,Laptop,2014-04-23,2009-01-01,10,4,179,43,11,16
12,Universal American,NY,83000,2009-11-12,Other,Paper,2014-01-23,2009-01-01,11,4,871,34,10,40
13,Kern Medical Center,CA,596,2009-10-31,Theft,Other,2014-01-23,2009-01-01,10,4,422,4,11,34
14,"Keith W. Mann, DDS, PLLC",NC,2000,2009-12-08,Hacking/IT Incident,"Desktop Computer, Network Server, Electronic Medical Record",2014-01-23,2009-01-01,12,4,420,27,0,5
15,Detroit Department of Health and Wellness Promotion,MI,10000,2009-10-22,Theft,Other Portable Electronic Device,2014-01-23,2009-01-01,10,4,230,22,11,35
16,Detroit Department of Health and Wellness Promotion,MI,646,2009-11-26,Theft,"Laptop, Desktop Computer",2014-01-23,2009-01-01,11,4,230,22,11,17
17,"University of California, San Francisco",CA,610,2009-09-22,Other,E-mail,2014-01-23,2009-01-01,9,3,879,4,10,11
18,Daniel J. Sigman MD PC,MA,1860,2009-12-11,Theft,"Other Portable Electronic Device, Other, Electronic Medical Record",2014-01-23,2009-01-01,12,4,215,19,11,37
19,Massachusetts Eye and Ear Infirmary,MA,1076,2009-11-10,Theft,Other,2014-01-23,2009-01-01,11,4,493,19,11,34
20,BlueCross BlueShield Association,DC,3400,2009-10-26,Theft,Paper,2014-06-30,2009-01-01,10,4,95,7,11,40
21,BlueCross BlueShield Association,DC,15000,2009-10-07,Theft,Paper,2014-04-24,2009-01-01,10,4,95,7,11,40
22,Kaiser Permanente Medical Care Program,CA,15500,2009-12-01,Theft,"Other Portable Electronic Device, Other",2014-01-23,2009-01-01,12,4,415,4,11,36
23,Blue Island Radiology Consultants,IL,2562,2009-12-09,Theft,Other,2014-06-30,2009-01-01,12,4,94,14,11,34
24,"Goodwill Industries of Greater Grand Rapids, Inc.",MI,10000,2009-12-15,Theft,Other,2014-01-23,2009-01-01,12,4,294,22,11,34
25,Children's Medical Center of Dallas,TX,3800,2009-11-19,Loss,"Other Portable Electronic Device, Other",2014-01-23,2009-01-01,11,4,160,44,4,36
26,Concentra,TX,900,2009-11-19,Theft,Laptop,2014-01-23,2009-01-01,11,4,193,44,11,16
27,Ashley and Gray DDS,MO,9309,2010-01-10,Theft,Desktop Computer,2014-01-23,2010-01-01,1,1,55,24,11,0
28,Advocate Health Care,IL,812,2009-11-24,Theft,Laptop,2014-01-23,2009-01-01,11,4,19,14,11,16
29,The Methodist Hospital,TX,689,2010-01-18,Theft,Other,2014-01-23,2010-01-01,1,1,824,44,11,34
30,"University of California, San Francisco",CA,7300,2009-11-30,Theft,Laptop,2014-01-23,2009-01-01,11,4,879,4,11,16
31,Carle Clinic Association,IL,1300,2010-01-13,Theft,"Other, Paper",2014-01-23,2010-01-01,1,1,133,14,11,39
32,Educators Mutual Insurance Association of Utah ,UT,5700,2009-12-27,Theft,Other,2014-01-23,2009-01-01,12,4,246,45,11,34
33,University Medical Center of Southern Nevada,NV,5103,2009-10-31,Theft,Paper,2014-01-23,2009-01-01,10,4,875,33,11,40
34,Center for Neurosciences,AZ,1100,2009-12-15,Theft,Laptop,2014-01-23,2009-01-01,12,4,140,3,11,16
35,Brown University,RI,528,2009-12-11,Other,Paper,2014-01-23,2009-01-01,12,4,107,40,10,40
36,MMM Heath Care Inc. ,PR,1907,2010-02-04,Theft,Paper,2014-06-03,2010-01-01,2,1,481,39,11,40
37,PMC Medicare Choice,PR,605,2010-02-04,Theft,Paper,2014-06-03,2010-01-01,2,1,610,39,11,40
38,Cardiology Consultants/Baptist Health Care Corporation,FL,8000,2009-12-19,Theft,Desktop Computer,2014-06-30,2009-01-01,12,4,131,9,11,0
39,"State of TN, Bureau of TennCare",TN,3900,2009-12-23,Theft,Paper,2014-06-24,2009-01-01,12,4,777,43,11,40
40,Lucille Packard Children's Hospital,CA,532,2010-01-11,Other,Desktop Computer,2014-01-23,2010-01-01,1,1,473,4,10,0
41,University of New Mexico Health Sciences Center,NM,1900,2010-02-08,Other,Desktop Computer,2014-01-23,2010-01-01,2,1,897,32,10,0
42,Advanced NeuroSpinal Care,CA,3500,2009-12-30,Theft,Network Server,2014-04-22,2009-01-01,12,4,17,4,11,30
43,Aspen Dental Care P.C.,CO,2500,2009-10-04,Theft,Other,2014-06-30,2009-01-01,10,4,56,5,11,34
44,Shands at UF,FL,12580,2010-01-27,Theft,Laptop,2014-01-23,2010-01-01,1,1,714,9,11,16
45,Wyoming Department of Health,WY,9023,2009-12-02,Unauthorized Access/Disclosure ,Network Server,2014-01-23,2009-01-01,12,4,956,51,23,30
46,Thrivent Financial for Lutherans,WI,9500,2010-01-29,Theft,Laptop,2014-01-23,2010-01-01,1,1,835,49,11,16
47,North Carolina Baptist Hospital,NC,554,2010-02-15,Theft,Paper,2014-01-23,2010-01-01,2,1,572,27,11,40
48,Montefiore Medical Center,NY,625,2010-02-20,Theft,Laptop,2014-06-03,2010-01-01,2,1,539,34,11,16
49,"Ernest T. Bice, Jr. DDS, P.A.",TX,21000,2010-02-20,Theft,"Other Portable Electronic Device, Other",2014-01-23,2010-01-01,2,1,252,44,11,36
50,Lee Memorial Health System,FL,3800,2010-01-29,Other,Paper,2014-01-23,2010-01-01,1,1,453,9,10,40
