Breach_ID,Breach_Start_Date,Breach_End_Date,Year,Attack_Type,Attack_Vector,Vulnerability,Detection_Method,System_Affected,Breach_Severity,How_Resolved,Origin_Country,Target_Country,Target_Sector,Data_Compromised,Notes
03E3E213,2022-09-15,2022-09-16,2022,Cloud Misconfiguration,Remote Desktop (RDP),Privilege Escalation Bug,Unusual Activity Detection,Email System,Medium,MFA Implemented,Canada,Germany,Retail,Internal Documents,Automated synthetic breach entry for research dataset.
563E67C4,2022-03-14,2022-03-20,2022,Zero-Day Exploit,Malicious Link,SQL Injection Flaw,Unusual Activity Detection,Endpoint Devices,High,Employee Terminated,India,Germany,Manufacturing,Emails,Automated synthetic breach entry for research dataset.
594AE64E,2025-04-17,2025-04-25,2025,Ransomware,USB Infection,Unsecured API,Firewall Logs,Database,Critical,Traffic Filtering,Japan,Russia,Energy,User Tokens,Automated synthetic breach entry for research dataset.
C2BCCC41,2021-11-13,2021-11-15,2021,Cloud Misconfiguration,Malicious Link,Misconfigured S3 Bucket,Firewall Logs,Email System,Critical,MFA Implemented,Brazil,Russia,Banking,Transaction Logs,Automated synthetic breach entry for research dataset.
B4456E83,2018-11-04,2018-11-07,2018,Zero-Day Exploit,Web Exploit,Unsecured API,Threat Intelligence Feed,Internal Network,Medium,Traffic Filtering,UAE,Germany,Banking,Transaction Logs,Automated synthetic breach entry for research dataset.
1BE54747,2015-04-19,2015-04-23,2015,Zero-Day Exploit,USB Infection,Zero-Day Vulnerability,Firewall Logs,IoT Devices,High,Backups Restored,UAE,UAE,Healthcare,Transaction Logs,Automated synthetic breach entry for research dataset.
C94AB34A,2020-08-31,2020-09-12,2020,Insider Threat,Cloud Misconfiguration,Privilege Escalation Bug,Unusual Activity Detection,Database,Low,MFA Implemented,Pakistan,Canada,Tech,System Configurations,Automated synthetic breach entry for research dataset.
54C1D631,2022-01-28,2022-02-01,2022,SQL Injection,USB Infection,Misconfigured S3 Bucket,User Reported,Payment Server,High,Patch Applied,China,Iran,Retail,Financial Logs,Automated synthetic breach entry for research dataset.
C7F307ED,2015-08-15,2015-08-18,2015,Zero-Day Exploit,Compromised Vendor,Unsecured API,External Audit,Web Server,Low,Firewall Updated,Germany,Spain,Retail,Internal Documents,Automated synthetic breach entry for research dataset.
40308140,2025-07-14,2025-07-23,2025,Ransomware,Compromised Vendor,Misconfigured S3 Bucket,External Audit,Cloud Storage,Medium,Patch Applied,Germany,France,Tech,Medical Records,Automated synthetic breach entry for research dataset.
57539A08,2025-05-22,2025-05-24,2025,Insider Threat,Web Exploit,Privilege Escalation Bug,User Reported,Internal Network,High,System Isolation,Nigeria,South Korea,Transportation,Emails,Automated synthetic breach entry for research dataset.
1113A25E,2022-08-13,2022-08-21,2022,Insider Threat,Compromised Vendor,Outdated Firewall,Unusual Activity Detection,Email System,Critical,MFA Implemented,Iran,Japan,Finance,Transaction Logs,Automated synthetic breach entry for research dataset.
434DB2FD,2022-11-09,2022-11-20,2022,Ransomware,Drive-by Download,Weak Password Policy,Threat Intelligence Feed,IoT Devices,Medium,Backups Restored,UK,Japan,Retail,Employee Records,Automated synthetic breach entry for research dataset.
74F5191C,2022-06-10,2022-06-17,2022,SQL Injection,Malicious Link,Outdated Firewall,External Audit,Payment Server,Critical,Patch Applied,Germany,Australia,Transportation,System Configurations,Automated synthetic breach entry for research dataset.
9FBFFF82,2024-12-08,2024-12-20,2024,Phishing,Email Phishing,Misconfigured S3 Bucket,Unusual Activity Detection,Web Server,Critical,MFA Implemented,South Korea,Nigeria,Tech,System Configurations,Automated synthetic breach entry for research dataset.
90A6F309,2023-03-24,2023-04-03,2023,SQL Injection,Cloud Misconfiguration,Weak Password Policy,External Audit,IoT Devices,High,Malware Removal,Pakistan,India,Telecom,Emails,Automated synthetic breach entry for research dataset.
DD908219,2019-07-24,2019-08-04,2019,Phishing,Web Exploit,Unpatched VPN,Firewall Logs,Payment Server,Medium,Key Rotation,Germany,Russia,Tech,Medical Records,Automated synthetic breach entry for research dataset.
0B2DAD01,2024-10-30,2024-10-31,2024,Malware Injection,Cloud Misconfiguration,Misconfigured S3 Bucket,Unusual Activity Detection,Cloud Storage,Medium,Malware Removal,USA,USA,Healthcare,Employee Records,Automated synthetic breach entry for research dataset.
2CD3BF46,2016-01-10,2016-01-13,2016,Cloud Misconfiguration,Web Exploit,CVE-2021-44228 (Log4j),Firewall Logs,IoT Devices,Low,Malware Removal,India,Italy,Transportation,Financial Logs,Automated synthetic breach entry for research dataset.
BE8FDBAF,2021-01-02,2021-01-07,2021,DDoS,USB Infection,Unpatched VPN,SIEM Alert,IoT Devices,Medium,Traffic Filtering,UK,Russia,Telecom,Medical Records,Automated synthetic breach entry for research dataset.
5D119FF7,2020-04-12,2020-04-18,2020,Malware Injection,Drive-by Download,Outdated Firewall,External Audit,Internal Network,Critical,Backups Restored,Germany,South Korea,Finance,User Tokens,Automated synthetic breach entry for research dataset.
66E5955A,2024-11-08,2024-11-09,2024,Insider Threat,Compromised Vendor,Outdated Firewall,Unusual Activity Detection,Web Server,Critical,Traffic Filtering,Australia,Germany,Education,Transaction Logs,Automated synthetic breach entry for research dataset.
BE315CE9,2021-03-21,2021-03-25,2021,Ransomware,Social Engineering,Unsecured API,SIEM Alert,IoT Devices,Low,Zero-Day Patch,UK,UK,Finance,User Tokens,Automated synthetic breach entry for research dataset.
238F7203,2025-07-11,2025-07-21,2025,Malware Injection,Compromised Vendor,Privilege Escalation Bug,Unusual Activity Detection,Email System,Critical,Employee Terminated,Germany,Italy,Manufacturing,Passwords,Automated synthetic breach entry for research dataset.
A5EEC8C9,2017-10-30,2017-11-02,2017,Insider Threat,Malicious Link,CVE-2021-44228 (Log4j),Firewall Logs,Web Server,High,MFA Implemented,Nigeria,Iran,Education,Financial Logs,Automated synthetic breach entry for research dataset.
8A215E4D,2017-09-07,2017-09-09,2017,Supply Chain Attack,Remote Desktop (RDP),Outdated Firewall,SIEM Alert,Email System,High,Malware Removal,USA,Canada,Retail,Customer Data,Automated synthetic breach entry for research dataset.
910F300A,2019-03-18,2019-03-23,2019,Zero-Day Exploit,Email Phishing,Misconfigured S3 Bucket,Firewall Logs,Cloud Storage,Low,Traffic Filtering,Brazil,Japan,Tech,Internal Documents,Automated synthetic breach entry for research dataset.
427B29B8,2024-06-01,2024-06-08,2024,Insider Threat,Malicious Link,Misconfigured S3 Bucket,Firewall Logs,Endpoint Devices,Critical,Malware Removal,Germany,Iran,Manufacturing,Internal Documents,Automated synthetic breach entry for research dataset.
13491B1F,2023-04-20,2023-04-25,2023,Insider Threat,Social Engineering,Zero-Day Vulnerability,SIEM Alert,Email System,High,Malware Removal,India,Canada,Finance,User Tokens,Automated synthetic breach entry for research dataset.
7C61B8F4,2018-08-03,2018-08-10,2018,Supply Chain Attack,Cloud Misconfiguration,SQL Injection Flaw,Threat Intelligence Feed,Cloud Storage,Critical,Firewall Updated,Canada,Australia,Education,System Configurations,Automated synthetic breach entry for research dataset.
508CE7A7,2022-12-27,2023-01-05,2022,API Exploit,Social Engineering,Unpatched VPN,SIEM Alert,Cloud Storage,High,Employee Terminated,Japan,Nigeria,Healthcare,Emails,Automated synthetic breach entry for research dataset.
D1743B7C,2015-04-24,2015-04-30,2015,Ransomware,USB Infection,Misconfigured S3 Bucket,Unusual Activity Detection,Database,Medium,MFA Implemented,Pakistan,South Korea,Manufacturing,Financial Logs,Automated synthetic breach entry for research dataset.
154F4569,2023-05-29,2023-06-09,2023,Phishing,Web Exploit,Misconfigured S3 Bucket,Intrusion Detection System,Web Server,Low,Traffic Filtering,Iran,Italy,Transportation,Passwords,Automated synthetic breach entry for research dataset.
0DF2EA14,2015-02-09,2015-02-10,2015,SQL Injection,Malicious Link,Unpatched VPN,Threat Intelligence Feed,Endpoint Devices,Medium,Employee Terminated,UAE,Iran,Finance,Emails,Automated synthetic breach entry for research dataset.
B9D8C0D2,2017-12-08,2017-12-13,2017,Phishing,Malicious Link,Privilege Escalation Bug,External Audit,Database,High,MFA Implemented,Germany,Russia,Healthcare,Passwords,Automated synthetic breach entry for research dataset.
FEA9B139,2020-01-30,2020-02-09,2020,DDoS,Compromised Vendor,SQL Injection Flaw,SIEM Alert,Web Server,High,MFA Implemented,Spain,Russia,Banking,Financial Logs,Automated synthetic breach entry for research dataset.
5297946C,2019-11-12,2019-11-16,2019,Insider Threat,USB Infection,Unsecured API,Unusual Activity Detection,IoT Devices,Medium,Backups Restored,Pakistan,India,Tech,Employee Records,Automated synthetic breach entry for research dataset.
DF985740,2018-07-22,2018-07-27,2018,API Exploit,Compromised Vendor,CVE-2021-44228 (Log4j),User Reported,Internal Network,Critical,Backups Restored,China,Iran,Education,User Tokens,Automated synthetic breach entry for research dataset.
4EA22A65,2015-10-18,2015-10-26,2015,Ransomware,Email Phishing,Unpatched VPN,SIEM Alert,Endpoint Devices,High,Traffic Filtering,UAE,Russia,Education,Passwords,Automated synthetic breach entry for research dataset.
E6389D9E,2022-07-14,2022-07-16,2022,SQL Injection,Email Phishing,Privilege Escalation Bug,User Reported,Payment Server,High,Key Rotation,UK,India,Transportation,Employee Records,Automated synthetic breach entry for research dataset.
5CC9C25B,2020-11-28,2020-12-01,2020,Malware Injection,Remote Desktop (RDP),Weak Password Policy,User Reported,IoT Devices,Low,MFA Implemented,Russia,Canada,Retail,Emails,Automated synthetic breach entry for research dataset.
7E1B9492,2020-07-17,2020-07-26,2020,Supply Chain Attack,Social Engineering,CVE-2021-44228 (Log4j),SIEM Alert,Database,Critical,Firewall Updated,South Korea,Italy,Government,Internal Documents,Automated synthetic breach entry for research dataset.
591E11DA,2022-03-22,2022-04-01,2022,DDoS,Social Engineering,Outdated Firewall,Unusual Activity Detection,IoT Devices,Medium,Traffic Filtering,India,Brazil,Telecom,Emails,Automated synthetic breach entry for research dataset.
6A6670C4,2017-06-27,2017-07-06,2017,Malware Injection,Compromised Vendor,Privilege Escalation Bug,Intrusion Detection System,Cloud Storage,Critical,Patch Applied,Spain,Iran,Retail,User Tokens,Automated synthetic breach entry for research dataset.
4B79CA34,2025-06-12,2025-06-23,2025,SQL Injection,Cloud Misconfiguration,Unpatched VPN,Unusual Activity Detection,Payment Server,Critical,Firewall Updated,Nigeria,India,Tech,Emails,Automated synthetic breach entry for research dataset.
83038E52,2022-12-21,2022-12-28,2022,DDoS,Email Phishing,Unpatched VPN,Threat Intelligence Feed,Payment Server,Medium,Key Rotation,Italy,Spain,Finance,Employee Records,Automated synthetic breach entry for research dataset.
0A2A0AA5,2025-03-25,2025-03-28,2025,Zero-Day Exploit,USB Infection,Outdated Firewall,Threat Intelligence Feed,Database,High,MFA Implemented,China,China,Banking,Emails,Automated synthetic breach entry for research dataset.
D8C36119,2016-08-24,2016-08-26,2016,Insider Threat,USB Infection,Weak Password Policy,Unusual Activity Detection,Endpoint Devices,High,Traffic Filtering,China,Germany,Banking,User Tokens,Automated synthetic breach entry for research dataset.
F174CD18,2017-12-14,2017-12-17,2017,Malware Injection,Remote Desktop (RDP),CVE-2021-44228 (Log4j),Unusual Activity Detection,Payment Server,Medium,Employee Terminated,USA,Australia,Education,Transaction Logs,Automated synthetic breach entry for research dataset.
AA1E89FE,2017-07-15,2017-07-22,2017,Insider Threat,USB Infection,Zero-Day Vulnerability,Threat Intelligence Feed,Endpoint Devices,High,Patch Applied,Nigeria,Japan,Banking,User Tokens,Automated synthetic breach entry for research dataset.
D5B930C7,2015-04-27,2015-05-07,2015,Insider Threat,Social Engineering,Zero-Day Vulnerability,Firewall Logs,Endpoint Devices,Low,Employee Terminated,Spain,Iran,Tech,Passwords,Automated synthetic breach entry for research dataset.
86FBFA49,2023-08-30,2023-09-04,2023,Phishing,Drive-by Download,Misconfigured S3 Bucket,Firewall Logs,IoT Devices,Critical,Malware Removal,Iran,China,Transportation,System Configurations,Automated synthetic breach entry for research dataset.
BF79403F,2023-01-23,2023-02-02,2023,Supply Chain Attack,Cloud Misconfiguration,Unsecured API,User Reported,Cloud Storage,Critical,Patch Applied,USA,UAE,Banking,Customer Data,Automated synthetic breach entry for research dataset.
3C397D30,2017-01-15,2017-01-16,2017,Malware Injection,Malicious Link,Weak Password Policy,SIEM Alert,Web Server,Low,Backups Restored,Australia,Canada,Retail,Transaction Logs,Automated synthetic breach entry for research dataset.
0AFDE038,2019-07-22,2019-07-27,2019,API Exploit,Cloud Misconfiguration,Unpatched VPN,Firewall Logs,Internal Network,Medium,Patch Applied,South Korea,Australia,Finance,Employee Records,Automated synthetic breach entry for research dataset.
880A667F,2019-08-16,2019-08-23,2019,Malware Injection,Remote Desktop (RDP),Outdated Firewall,Unusual Activity Detection,Email System,High,Traffic Filtering,Italy,Canada,Telecom,User Tokens,Automated synthetic breach entry for research dataset.
318A2C9F,2017-02-19,2017-02-27,2017,Malware Injection,USB Infection,CVE-2021-44228 (Log4j),User Reported,Payment Server,Critical,MFA Implemented,France,India,Telecom,Transaction Logs,Automated synthetic breach entry for research dataset.
20500F52,2025-05-30,2025-06-07,2025,Malware Injection,Social Engineering,Unsecured API,Firewall Logs,Web Server,Medium,Backups Restored,Iran,Pakistan,Finance,Customer Data,Automated synthetic breach entry for research dataset.
4517BB2E,2025-01-03,2025-01-13,2025,Malware Injection,Drive-by Download,Outdated Firewall,Threat Intelligence Feed,Email System,High,Zero-Day Patch,Iran,India,Tech,Emails,Automated synthetic breach entry for research dataset.
4AC4D82A,2025-06-06,2025-06-18,2025,API Exploit,Social Engineering,CVE-2021-44228 (Log4j),Threat Intelligence Feed,Database,High,Traffic Filtering,Italy,USA,Energy,Transaction Logs,Automated synthetic breach entry for research dataset.
01A13A1C,2023-04-11,2023-04-20,2023,Zero-Day Exploit,Drive-by Download,Weak Password Policy,Firewall Logs,Endpoint Devices,Critical,MFA Implemented,Russia,Australia,Tech,Medical Records,Automated synthetic breach entry for research dataset.
1CE6A9DB,2017-03-01,2017-03-06,2017,Malware Injection,USB Infection,Unpatched VPN,Intrusion Detection System,Endpoint Devices,Critical,Backups Restored,UK,Japan,Energy,Passwords,Automated synthetic breach entry for research dataset.
E89737C5,2024-01-18,2024-01-30,2024,API Exploit,Drive-by Download,Misconfigured S3 Bucket,Firewall Logs,Internal Network,Low,System Isolation,UAE,Netherlands,Finance,Financial Logs,Automated synthetic breach entry for research dataset.
62F394A5,2017-05-10,2017-05-15,2017,Ransomware,USB Infection,Weak Password Policy,SIEM Alert,Endpoint Devices,Medium,Malware Removal,Australia,Italy,Education,Customer Data,Automated synthetic breach entry for research dataset.
90CED427,2020-01-25,2020-02-04,2020,Ransomware,USB Infection,Misconfigured S3 Bucket,SIEM Alert,Payment Server,Critical,Employee Terminated,Pakistan,Australia,Finance,User Tokens,Automated synthetic breach entry for research dataset.
73D24D7C,2020-09-06,2020-09-09,2020,Insider Threat,Email Phishing,Privilege Escalation Bug,Intrusion Detection System,Web Server,Low,MFA Implemented,USA,Italy,Telecom,Passwords,Automated synthetic breach entry for research dataset.
F35D0692,2023-09-15,2023-09-27,2023,DDoS,Cloud Misconfiguration,Privilege Escalation Bug,Threat Intelligence Feed,Endpoint Devices,High,Key Rotation,UK,UK,Government,Customer Data,Automated synthetic breach entry for research dataset.
55617BBE,2022-09-06,2022-09-11,2022,Ransomware,Drive-by Download,Unsecured API,SIEM Alert,Web Server,Medium,Patch Applied,Australia,France,Finance,Internal Documents,Automated synthetic breach entry for research dataset.
1184B58D,2018-06-05,2018-06-15,2018,SQL Injection,USB Infection,Weak Password Policy,User Reported,IoT Devices,High,Malware Removal,USA,Pakistan,Telecom,Medical Records,Automated synthetic breach entry for research dataset.
9563DDD0,2022-04-08,2022-04-11,2022,DDoS,USB Infection,Weak Password Policy,Firewall Logs,IoT Devices,Medium,System Isolation,Nigeria,Spain,Healthcare,Medical Records,Automated synthetic breach entry for research dataset.
98FEF6C0,2015-03-14,2015-03-17,2015,API Exploit,USB Infection,Privilege Escalation Bug,Firewall Logs,Database,Medium,Key Rotation,Nigeria,China,Finance,Emails,Automated synthetic breach entry for research dataset.
EA4C0FC6,2025-03-10,2025-03-13,2025,Malware Injection,Email Phishing,Unpatched VPN,Firewall Logs,Endpoint Devices,Low,System Isolation,UK,Netherlands,Education,Internal Documents,Automated synthetic breach entry for research dataset.
F48C3DDD,2024-03-30,2024-04-05,2024,Ransomware,Compromised Vendor,CVE-2021-44228 (Log4j),Unusual Activity Detection,Payment Server,Critical,Key Rotation,Canada,UK,Government,System Configurations,Automated synthetic breach entry for research dataset.
374C3671,2017-04-05,2017-04-13,2017,Insider Threat,Cloud Misconfiguration,Outdated Firewall,External Audit,Internal Network,Low,Employee Terminated,South Korea,Canada,Transportation,Internal Documents,Automated synthetic breach entry for research dataset.
8F77D08E,2019-07-22,2019-07-27,2019,Zero-Day Exploit,Malicious Link,Weak Password Policy,Intrusion Detection System,Email System,Medium,Backups Restored,Nigeria,USA,Transportation,Medical Records,Automated synthetic breach entry for research dataset.
BE5BA914,2025-10-18,2025-10-19,2025,Zero-Day Exploit,Email Phishing,Zero-Day Vulnerability,External Audit,Database,Critical,Key Rotation,Nigeria,South Korea,Finance,Customer Data,Automated synthetic breach entry for research dataset.
