Breach_ID,Breach_Start_Date,Breach_End_Date,Year,Attack_Type,Attack_Vector,Vulnerability,Detection_Method,System_Affected,Breach_Severity,How_Resolved,Origin_Country,Target_Country,Target_Sector,Data_Compromised,Notes,Breach_Duration_Days
03E3E213,2022-12-07,2022-12-12,2022,Web Exploit,Remote Desktop (RDP),Privilege Escalation Bug,Firewall Logs,Email System,Medium,MFA Implemented,Canada,Germany,Retail,Internal Documents,Automated synthetic breach entry for research dataset.,5
563E67C4,2022-03-29,2022-04-01,2022,Zero-Day Exploit,Malicious Link,SQL Injection Flaw,Unusual Activity Detection,Endpoint Devices,High,Employee Terminated,India,Germany,Manufacturing,Credentials,Automated synthetic breach entry for research dataset.,3
594AE64E,2025-04-30,2025-05-17,2025,Ransomware,USB Infection,Unsecured API,Threat Intelligence Feed,Database,Critical,Traffic Filtering,Japan,Russia,Energy,Sensitive PII,Automated synthetic breach entry for research dataset.,17
C2BCCC41,2021-06-08,2021-06-11,2021,Ransomware,Malicious Link,Misconfigured S3 Bucket,SIEM Alerts,Email System,High,MFA Implemented,Brazil,Russia,Banking,User Tokens,Automated synthetic breach entry for research dataset.,3
B4456E83,2018-11-14,2018-11-22,2018,Zero-Day Exploit,Web Exploit,Unsecured API,Firewall Logs,Internal Network,High,Traffic Filtering,UAE,Germany,Banking,User Tokens,Automated synthetic breach entry for research dataset.,8
1BE54747,2015-08-09,2015-08-15,2015,Phishing,USB Infection,Zero-Day Vulnerability,Firewall Logs,IoT Devices,Low,Backups Restored,UAE,UAE,Healthcare,Basic Metadata,Automated synthetic breach entry for research dataset.,6
C94AB34A,2020-03-16,2020-03-25,2020,Ransomware,Cloud Misconfiguration,Privilege Escalation Bug,SIEM Alerts,Database,Critical,MFA Implemented,Pakistan,Canada,Tech,Full Database Dump,Automated synthetic breach entry for research dataset.,9
54C1D631,2022-02-01,2022-02-13,2022,Ransomware,USB Infection,Misconfigured S3 Bucket,Firewall Logs,Payment Server,High,Patch Applied,China,Iran,Retail,Credentials,Automated synthetic breach entry for research dataset.,12
C7F307ED,2015-12-28,2016-01-04,2015,Ransomware,Compromised Vendor,Unsecured API,Firewall Logs,Web Server,Critical,Firewall Updated,Germany,Spain,Retail,Sensitive PII,Automated synthetic breach entry for research dataset.,7
40308140,2025-03-15,2025-04-01,2025,Zero-Day Exploit,Compromised Vendor,Misconfigured S3 Bucket,Threat Intelligence Feed,Cloud Storage,High,Patch Applied,Germany,France,Tech,Transaction Logs,Automated synthetic breach entry for research dataset.,17
57539A08,2025-12-27,2026-01-07,2025,Phishing,Web Exploit,Privilege Escalation Bug,Threat Intelligence Feed,Internal Network,Medium,System Isolation,Nigeria,South Korea,Transportation,Emails,Automated synthetic breach entry for research dataset.,11
1113A25E,2022-08-20,2022-08-25,2022,Zero-Day Exploit,Compromised Vendor,Outdated Firewall,Firewall Logs,Email System,High,MFA Implemented,Iran,Japan,Finance,Transaction Logs,Automated synthetic breach entry for research dataset.,5
434DB2FD,2022-03-05,2022-03-08,2022,Ransomware,Drive-by Download,Weak Password Policy,Unusual Activity Detection,IoT Devices,Critical,Backups Restored,UK,Japan,Retail,Sensitive PII,Automated synthetic breach entry for research dataset.,3
74F5191C,2022-12-30,2023-01-06,2022,Phishing,Malicious Link,Outdated Firewall,SIEM Alerts,Payment Server,Medium,Patch Applied,Germany,Australia,Transportation,Emails,Automated synthetic breach entry for research dataset.,7
9FBFFF82,2024-04-20,2024-04-28,2024,Ransomware,Email Phishing,Misconfigured S3 Bucket,AI-Based Monitoring,Web Server,Critical,MFA Implemented,South Korea,Nigeria,Tech,Sensitive PII,Automated synthetic breach entry for research dataset.,8
90A6F309,2023-04-01,2023-04-08,2023,Ransomware,Cloud Misconfiguration,Weak Password Policy,SIEM Alerts,IoT Devices,High,Malware Removal,Pakistan,India,Telecom,Credentials,Automated synthetic breach entry for research dataset.,7
DD908219,2019-09-20,2019-09-21,2019,Phishing,Web Exploit,Unpatched VPN,Manual Review,Payment Server,Medium,Key Rotation,Germany,Russia,Tech,Emails,Automated synthetic breach entry for research dataset.,1
0B2DAD01,2024-04-06,2024-04-23,2024,Phishing,Cloud Misconfiguration,Misconfigured S3 Bucket,AI-Based Monitoring,Cloud Storage,Low,Malware Removal,USA,USA,Healthcare,Basic Metadata,Automated synthetic breach entry for research dataset.,17
2CD3BF46,2016-02-13,2016-02-16,2016,Insider Threat,Web Exploit,CVE-2021-44228 (Log4j),Firewall Logs,IoT Devices,Critical,Malware Removal,India,Italy,Transportation,Sensitive PII,Automated synthetic breach entry for research dataset.,3
BE8FDBAF,2021-06-21,2021-06-26,2021,Cloud Misconfiguration,USB Infection,Unpatched VPN,Unusual Activity Detection,IoT Devices,High,Traffic Filtering,UK,Russia,Telecom,Credentials,Automated synthetic breach entry for research dataset.,5
5D119FF7,2020-06-11,2020-06-17,2020,Zero-Day Exploit,Drive-by Download,Outdated Firewall,Unusual Activity Detection,Internal Network,Medium,Backups Restored,Germany,South Korea,Finance,Internal Documents,Automated synthetic breach entry for research dataset.,6
66E5955A,2024-06-15,2024-06-22,2024,Phishing,Compromised Vendor,Outdated Firewall,AI-Based Monitoring,Web Server,Medium,Traffic Filtering,Australia,Germany,Education,Emails,Automated synthetic breach entry for research dataset.,7
BE315CE9,2021-12-10,2021-12-20,2021,Zero-Day Exploit,Social Engineering,Unsecured API,Unusual Activity Detection,IoT Devices,High,Zero-Day Patch,UK,UK,Finance,Credentials,Automated synthetic breach entry for research dataset.,10
238F7203,2025-12-12,2025-12-23,2025,Ransomware,Compromised Vendor,Privilege Escalation Bug,AI-Based Monitoring,Email System,Critical,Employee Terminated,Germany,Italy,Manufacturing,Financial Records,Automated synthetic breach entry for research dataset.,11
A5EEC8C9,2017-03-16,2017-03-22,2017,Phishing,Malicious Link,CVE-2021-44228 (Log4j),Firewall Logs,Web Server,Medium,MFA Implemented,Nigeria,Iran,Education,Internal Documents,Automated synthetic breach entry for research dataset.,6
8A215E4D,2017-10-04,2017-10-10,2017,Phishing,Remote Desktop (RDP),Outdated Firewall,Manual Review,Email System,Low,Malware Removal,USA,Canada,Retail,Minimal Logs,Automated synthetic breach entry for research dataset.,6
910F300A,2019-11-02,2019-11-03,2019,Zero-Day Exploit,Email Phishing,Misconfigured S3 Bucket,Manual Review,Cloud Storage,High,Traffic Filtering,Brazil,Japan,Tech,User Tokens,Automated synthetic breach entry for research dataset.,1
